tech,categ,sector,fuel,eff,time_series,lifetime,financial_lifetime,discount_rate
pv,generation,el,none,0,solar,15,20,0.05
wind,generation,el,none,0,wind,15,20,0.05
coal,generation,el,coal,0,none,45,20,0.05
oil,generation,el,oil,0,none,40,20,0.05
gas,generation,el,gas,0,none,50,20,0.05
bat_e,storage_e,el,none,1,none,25,20,0.05
bat_in,storage_in,el,none,0.97,none,25,20,0.05
bat_out,storage_out,el,none,0.97,none,25,20,0.05
h2_e,storage_e,el,none,1,none,40,20,0.05
h2_in,storage_in,el,none,0.7,none,15,20,0.05
h2_out,storage_out,el,none,0.4,none,40,20,0.05
trans,transmission,el,none,0.9995,none,80,20,0.05
